GEOID,sovi,rank,fema_region
g06061,-3.0552403401275496,83.0,FEMA_9
g06063,1.9559716046720759,15.0,FEMA_9
g06065,-1.1827950201147517,63.0,FEMA_9
g06067,-1.585020812620652,67.0,FEMA_9
g06069,-1.10438784738676,62.0,FEMA_9
g06071,-1.354660466175468,64.0,FEMA_9
g06073,-1.694840185147734,68.0,FEMA_9
g06075,5.289854229202474,2.0,FEMA_9
g06077,-0.5665397542161013,51.0,FEMA_9
g06079,-1.0155714341132227,59.0,FEMA_9
g06081,-0.9774572060128935,58.0,FEMA_9
g06083,0.6374146786444683,34.0,FEMA_9
g06085,-2.065768328872574,76.0,FEMA_9
g06087,-0.6810364695429247,53.0,FEMA_9
g06089,0.28012651527491833,43.0,FEMA_9
g06091,1.700543372765109,18.0,FEMA_9
g06093,0.8553522964936763,32.0,FEMA_9
g06095,-3.3416204684294573,84.0,FEMA_9
g06097,-0.8403637828426151,57.0,FEMA_9
g06099,0.3945069777804173,42.0,FEMA_9
g06101,0.17316962270225972,45.0,FEMA_9
g06103,0.9168685271925641,30.0,FEMA_9
g06105,0.40086557758008523,41.0,FEMA_9
g06107,1.8746274129798735,16.0,FEMA_9
g06109,1.2192891053649597,25.0,FEMA_9
g06111,-1.7249656843030405,69.0,FEMA_9
g06113,-1.8330076952970846,72.0,FEMA_9
g06115,-0.6958173193827728,54.0,FEMA_9
g08001,3.4592301441196476,33.0,FEMA_8
g08003,2.2881065207535443,54.0,FEMA_8
g08005,4.232034502708524,23.0,FEMA_8
g08007,2.1358931929935756,55.0,FEMA_8
g08009,2.1290777148011166,56.0,FEMA_8
g08011,2.0980139812042324,57.0,FEMA_8
g08013,-1.6514737767320886,208.0,FEMA_8
g08014,1.3422025142617127,81.0,FEMA_8
g08015,1.4204964132367786,78.0,FEMA_8
g08017,0.1306537642260872,128.0,FEMA_8
g08019,-1.9177547199506546,220.0,FEMA_8
g08021,5.797837494226804,11.0,FEMA_8
g08023,10.0626956297817,2.0,FEMA_8
g08025,-1.3584437420709374,194.0,FEMA_8
g08027,1.9019407191653108,61.0,FEMA_8
g08029,2.8575240190962745,45.0,FEMA_8
g08031,13.181730353724372,1.0,FEMA_8
g08033,1.0871510720598527,93.0,FEMA_8
