GEOID,sovi,rank
g05039,0.38207321003299044,1377.0
g05041,3.2411582088620854,298.0
g05043,0.7394850670144703,1171.0
g05045,-3.2258551914839972,2806.0
g05047,1.352854327636459,870.0
g05049,3.9951823870602974,194.0
g05051,2.0711105060684414,561.0
g05053,-3.133098437437421,2787.0
g05055,-0.8669090935440666,2048.0
g05057,2.32709519247342,483.0
g05059,-0.5126614192011716,1877.0
g05061,3.176481404212309,306.0
g05063,0.6766182905079554,1204.0
g05065,1.9339684602312344,620.0
g05067,1.6550643140723251,738.0
g05069,1.4850507352971867,815.0
g05071,-0.08560956000578357,1625.0
g05073,3.8637353667462366,210.0
g05075,2.8388248251183725,364.0
g05077,3.2137565375420873,301.0
g05079,-3.85113790432802,2917.0
g05081,0.8307817188817809,1125.0
g05083,0.6981790609526287,1193.0
g05085,-2.387426568829489,2595.0
g05087,-0.40395355323459636,1820.0
g05089,3.1922441319349644,303.0
g05091,-0.258215641913227,1728.0
g05093,0.7552599044330911,1162.0
g05095,4.034196221834328,188.0
g05097,1.9581185590877188,606.0
g05099,1.3934492504335894,858.0
g05101,-0.02875231260723199,1589.0
g05103,2.0306246229647575,580.0
g05105,-1.2499050922801642,2232.0
g05107,6.092481652912081,81.0
g05109,0.5105445421753305,1299.0
g05111,2.2301301002906087,512.0
g05113,1.4229404755778208,839.0
g05115,-0.8498912938747555,2041.0
g05117,1.716005449033283,711.0
g05119,-0.6089281625112071,1919.0
g05121,1.5987496598804278,761.0
g05123,1.2005970220012274,932.0
g05125,-2.962197870575733,2742.0
g05127,0.3715719811287759,1381.0
g05129,4.646381821672357,141.0
g05131,0.2692335140255823,1434.0
g05133,2.758137611106519,383.0
g05135,3.0656340771197854,320.0
g05137,2.914073017407974,340.0
g05139,0.5872515408059471,1250.0
g05141,2.3067380861223254,488.0
g05143,-1.2874430971553041,2246.0
g05145,-1.1355516114803972,2168.0
g05147,3.8776645699261123,207.0
g05149,2.0676811232405656,562.0
g06001,-2.9595449881556397,2741.0
g06003,-0.43552775627554086,1835.0
g06005,-0.6020998590778057,1915.0
g06007,1.0669253950541968,1002.0
g06009,-0.4999960094478175,1865.0
g06011,2.606855607356085,416.0
g06013,-3.3001495306579547,2819.0
g06015,1.7578923862214517,693.0
g06017,-3.187713706889066,2799.0
g06019,2.678165171499696,401.0
g06021,1.6316653646158172,752.0
g06023,-0.10102813386068332,1633.0
g06025,6.749079251656327,60.0
g06027,1.9607504103036462,603.0
g06029,1.223672432247305,921.0
g06031,-0.1564080893986648,1671.0
g06033,2.37374084391946,466.0
g06035,-5.129086127289607,3030.0
g06037,1.1904587424363666,940.0
g06039,2.838161165813926,365.0
g06041,-5.618714396082034,3059.0
g06043,1.4502685556754606,826.0
g06045,2.055847040889931,569.0
g06047,2.891325016724708,350.0
g06049,3.8366068575610464,220.0
g06051,-1.3431590469493377,2266.0
g06053,1.8091621494139165,670.0
g06055,-0.8677650941345677,2049.0
g06057,-1.1954661027996631,2203.0
g06059,-2.875304524409567,2724.0
g06061,-3.225673848412491,2805.0
g06063,1.6969325672299165,726.0
g06065,0.3354724865519032,1402.0
g06067,-0.01453437664599777,1582.0
g06069,-0.2639210923506039,1735.0
g06071,0.3417641408086871,1398.0
g06073,-1.7498348609386356,2409.0
g06075,-1.394149417144945,2280.0
g06077,0.5484217379466552,1278.0
g06079,-2.0351387344844483,2502.0
g06081,-4.431155276470135,2973.0
g06083,0.15324640143766932,1490.0
g06085,-6.158144123464424,3092.0
g06087,-2.4715349300777865,2620.0
g06089,0.7182252713468459,1181.0
g06091,3.0847578896331,317.0
g06093,2.309650747003144,485.0
g06095,-1.7219972913217736,2398.0
g06097,-1.1232793773982943,2163.0
g06099,1.1988447260208654,933.0
g06101,1.0753869916931622,997.0
g06103,1.9804300283512053,596.0
g06105,1.8181022161542344,663.0
g06107,3.473454115712544,263.0
g06109,0.851897332981222,1110.0
g06111,-2.483310904381268,2623.0
g06113,-1.4586503992483741,2308.0
g06115,0.36713696532362505,1385.0
g08001,-1.3318571043961516,2263.0
g08003,0.5072601439768597,1302.0
g08005,-2.8216065094599507,2714.0
g08007,-1.943102034017072,2471.0
g08009,3.6446587835798847,237.0
g08011,-1.336725842689816,2264.0
g08013,-5.747991819529855,3067.0
